title,description,text,date,language
"Aleafia Health Announces Record $43.1 Million Net Revenue in 2022 15-Month Fiscal Year, Strong $8 Million Branded Cannabis Net Revenue in Q5","151% increase in branded cannabis net revenue1 to $36.8 million in 15-month fiscal year 2022 ended March 31, 2022 (new fiscal year end) from $14.6 million in...","www.AleafiaHealth.com/Invest
<ul><li>151% increase in branded cannabis net revenue1 to $36.8 million in 15-month fiscal year 2022 ended March 31, 2022 (new fiscal year end) from $14.6 million in the… [+33756 chars]",2022-06-28,en
‘True hell’: Ukraine reports more civilian casualties after heavy Russian strikes in east and south,Kyiv urges residents in Kherson and Zaporizhzhia to evacuate as it prepares for ‘massive fight’,"Russia has been accused of raising true hell in Ukraines eastern industrial heartlands this weekend, as an onslaught of shelling and numerous civilian deaths were reported in the south and east of th… [+14360 chars]",2022-07-09,en
Localization and China's Tech Success in Indonesia - Carnegie Endowment for International Peace,"Despite ambivalence about Chinese intentions in Indonesia’s political and defense establishment, Chinese telecoms firms have successfully used strategies of localization to position themselves as trusted cybersecurity providers to the country.","China Local/Global
China has become a global power, but there is too little debate about how this has happened and what it means. Many argue that China exports its developmental model and imposes it… [+97801 chars]",2022-07-11,en
Fact Check: Biden Says U.S. Inflation 'Lowest of Almost Every Major Nation',"As Americans reel from the news that inflation has hit a 40-year high of 9.1 percent, was Joe Biden correct to say the country is performing better than most?","As Americans digest the latest inflation data, analysts are trawling through the figures to compare how U.S. price rises compare to other economies around the world.
Inflation has now hit a 40-year … [+5348 chars]",2022-07-13,en
Short- And Long-Duration Energy Storage Essential To The Clean Energy Transition,"Renewable energy sources, primarily wind and solar power, are set to account for the majority of growth within the power sector over the coming years.","Just_Super/iStock via Getty Images
The adoption of renewable energy is accelerating globally, particularly wind and solar power, as governments and corporations work towards meeting climate change-r… [+25987 chars]",2022-06-24,en
Financial Services Roundup: Market Talk,The latest Market Talks covering Financial Services,"The latest Market Talks covering Financial Services. Exclusively on Dow Jones Newswires at 4:20 ET, 12:20 ET and 16:50 ET. 0535 GMT -
Life Insurance Corp. of Indias
business drivers appear to be in… [+8084 chars]",2022-07-05,en
UK’s Liz Truss was warned of blow to food sector under Australia and New Zealand trade deals,Data obtained by POLITICO shows economic toll on farmers known before key post-Brexit trade talks began.,LONDON Conservative leadership hopeful Liz Truss was given detailed warnings by her own officials in 2020 that post-Brexit trade pacts with Australia and New Zealand would shrink the country's farmin… [+7949 chars],2022-07-12,en
AP News Digest 3 am,"Here are the AP’s latest coverage plans, top stories and promotable content. All times EDT. For up-to-the minute information on AP’s coverage, visit Coverage Plan at https://newsroom.ap.org.","Here are the APs latest coverage plans, top stories and promotable content. All times EDT. For up-to-the minute information on APs coverage, visit Coverage Plan at https://newsroom.ap.org. 
-
 TOP … [+5969 chars]",2022-07-18,en
"A look at Novak Djokovic's chaotic 2022 season, as he nears another Wimbledon title",Novak Djokovic looks to complete his Wimbledon title defense on Sunday -- something that seemed like it might not be possible earlier this year. Here's a timeline of the events of Djokovic's turbulent season.﻿,"After a turbulent start to the 2022 season, Novak Djokovic is just one victory away from claiming his first, and perhaps only, major title of the year at Wimbledon.
With his status for the US Open s… [+13769 chars]",2022-07-08,en
How To Fight Climate Change Using AI,"AI is a game-changing critical enabler that has the potential to speed up humanity's race against climate change. With AI, we have a chance to build a more resilient future for us all.  AI can help reducing emissions, improving energy efficiency, and increasi…",Group of children holding planet earth over defocused nature background with copy space. Element of ... [+] this image furnished by NASA ( https://earthobservatory.nasa.gov/blogs/elegantfigures/2011/… [+20009 chars],2022-07-08,en
Stock Market Today: Top 10 things to know before the market opens today - Moneycontrol,"<ol><li>Stock Market Today: Top 10 things to know before the market opens today  Moneycontrol
</li><li>Investors cautious ahead of key macro data this week; indices open lower  VCCircle
</li><li>Weak opening on the cards  Business Standard
</li><li>Closing…","The market is expected to open on a cautious note as trends in the SGX Nifty indicate a flat opening for the broader index in India with a gain of 15 points.
The BSE Sensex fell more than 500 points… [+5435 chars]",2022-07-13,en
Why is Afghanistan so vulnerable to deadly earthquakes?,"More than 1,000 people have been killed after a powerful 6.1-magnitude earthquake struck in Afghanistan yesterday. Here's what we know about the disaster, the region's vulnerability and the Taliban's response.","More than 1,000 people have been killed after a powerful 6.1-magnitude earthquake struck a town in Afghanistan yesterday.
It was the deadliest quake in the country since 2002.
The Taliban's supreme… [+7154 chars]",2022-06-23,en
WHO concludes there’s “no place for cheap alcohol”,"Minimum unit pricing is an effective tool against alcohol harms

In late June 2022, World Health Organization Europe published a handbook on minimum pricing policies for alcohol.1 As described by one of the authors,2 the report is “everything you wanted to kn…","<ol><li>Sadie Boniface, </li><li>head of research</li></ol><ol><li>Institute of Alcohol Studies, London, UK
</li></ol><ol><li>sboniface{at}ias.org.uk</li></ol>
Minimum unit pricing is an effective … [+5635 chars]",2022-07-22,en
"Brickworks share price higher on record earnings, Goodman deal","Brickworks shares are having a positive finish to the week...
The post Brickworks share price higher on record earnings, Goodman deal appeared first on The Motley Fool Australia.","The Brickworks Limited(ASX: BKW) share price is having a positive finish to the week.
At one stage today, the building products companys shares were up 4% to $21.00.
The Brickworks share price has … [+2395 chars]",2022-07-22,en
Fast food group KFC to lift prices for a third time in 2022 - The Australian Financial Review,"Collins Foods, with 261 KFCs in Australia, says sales are up strongly in the past two months and a lettuce shortage will end in 7 weeks.","Mr OMalley didnt want to specify when the third price increase would occur. We do expect something more will be required, he said.
He said KFCs hugely successful advertising campaign using the Did s… [+2404 chars]",2022-06-28,en
Can the Lifestyle Communities share price recover in FY23?,"Real estate trends continue to shift in the domestic market.
The post Can the Lifestyle Communities share price recover in FY23? appeared first on The Motley Fool Australia.","The Lifestyle Communities Limited (ASX: LIC) share price is rangebound today. 
At the time of writing, the share is trading 0.5% higher at $14.19 apiece on no news. 
The real estate company is havi… [+1429 chars]",2022-07-14,en
Why is the Cann share price smoking out the ASX by 20% today,"Cann shares are in the green on Thursday.
The post Why is the Cann share price smoking out the ASX by 20% today appeared first on The Motley Fool Australia.","The Cann Group Ltd (ASX: CAN) share price is rocketing on Thursday.
This comes after the cannabis company announced a positive update regarding its Mildura facility.
At the time of writing, Cann sh… [+1404 chars]",2022-06-30,en
Biden's mission in Europe: Shore up alliance against Russia,U.S. President Joe Biden is out to sustain the global alliance punishing Russia for its invasion of Ukraine as he embarks on a five-day trip to Europe as the four-month-old war shows no sign of abating and its aftershocks to global food and energy supplies ar…,U.S. President Joe Biden is out to sustain the global alliance punishing Russia for its invasion of Ukraine as he embarks on a five-day trip to Europe as the four-month-old war shows no sign of abati… [+6790 chars],2022-06-25,en
The rise and fall of the Soul Pattinson share price over the past year,"This ASX share has been through a lot of volatility in recent months.
The post The rise and fall of the Soul Pattinson share price over the past year appeared first on The Motley Fool Australia.","The Washington H. Soul Pattinson and Co. Ltd (ASX: SOL) share price has been hurting over the last 12 months.
While the Soul Pattinson financial calendar is actually for the 12 months to 31 July 202… [+2936 chars]",2022-07-04,en
The coming battle for climate reparations,"By David Callaway, Callaway Climate Insights A new Dartmouth study this week linking polluting countries like the U.S. and China to actual economic damages in poorer countries because of the global warming they’ve caused went off like a bomb in climate circle…","By David Callaway, Callaway Climate Insights
A new Dartmouth study this week linking polluting countries like the U.S. and China to actual economic damages in poorer countries because of the global … [+7756 chars]",2022-07-15,en
Water Wars: 'We’ve Seen This Movie Before': U.S. Suspicious of Beijing’s Motives in Solomon Islands,"U.S. Focus on the Indo-Pacific Drives Resurgence of UNCLOS Ratification Effort
Earlier this year, a group of Democratic congressmen introduced an amendment to the America COMPETES Act, a bill aimed at boosting U.S. manufacturing and technology capabilities in…","U.S. Focus on the Indo-Pacific Drives Resurgence of UNCLOS Ratification Effort
Earlier this year, a group of Democratic congressmen introduced an amendment to theAmerica COMPETES Act, a bill aimed a… [+36063 chars]",2022-06-30,en
Thursday: Hili dialogue,"Welcome to Thursday, June 23, 2022: National Pecan Sandy Day, celebrating a kind of dry cookie that some people like. It’s also International Widows Day, National Day of Remembrance for Victims of Terrorism (in Canada), Saint John’s Eve and the first day of t…","Welcome to Thursday, June 23, 2022: National Pecan Sandy Day, celebrating a kind of dry cookie that some people like.
It’s also International Widows Day, National Day of Remembrance for Victims of T… [+15806 chars]",2022-06-23,en
Why is the Altium share price down 5% today?,"Altium shares are erasing most of their gains achieved this week.
The post Why is the Altium share price down 5% today? appeared first on The Motley Fool Australia.","The Altium Ltd (ASX: ALU) share price is tumbling today despite no announcements from the electronic design software company.
This comes after its shares staged a mini-rebound this week, climbing as… [+1922 chars]",2022-06-29,en
"Down 9% in a week, what’s going on with the Chalice Mining share price?","It's been a rough week – and year – for the Chalice Mining share price.
The post Down 9% in a week, what’s going on with the Chalice Mining share price? appeared first on The Motley Fool Australia.","The Chalice Mining Ltd(ASX: CHN) share price has had a week to forget. But at least its not alone in its tumble. Its been joined by many of its S&amp;P/ASX 200 Index (ASX: XJO) resource peers.
At th… [+1805 chars]",2022-06-24,en
"Exclusive Q&A: Greg Norman's vision for LIV Golf, PGA Tour players creating 'firestorm of controversy,' and more",Greg Norman sold both of his homes in the U.S. and was planning to move back to Australia when he was presented the chance to start a new golf league.,"WEST PALM BEACH About 18 months ago, Greg Norman sold his home on Jupiter Island and ranch in northwest Colorado and was headed back to his native Australia.
That's when he was presented with a busi… [+15346 chars]",2022-07-19,en
Why did the ANZ share price plunge 22% in FY22?,"The ANZ share price suffered a major downturn towards the end of FY22. 
The post Why did the ANZ share price plunge 22% in FY22? appeared first on The Motley Fool Australia.","The Australia and New Zealand Banking Group Ltd(ASX: ANZ) share price underperformed the S&amp;P/ASX 200 Index (ASX: XJO) last financial year.
The ANZ share price closed financial year 2022 (FY22) t… [+2328 chars]",2022-07-09,en
Asian shares gain as investors shrug off downbeat data,"Shares were higher in Asia on Friday, despite data suggesting economies are slowing. The advance tracked gains on Wall Street, where the market is headed for its first weekly gain after three weeks of punishing losses.  Tokyo's Nikkei 225 index added 1.2% to …","Shares were higher in Asia on Friday, despite data suggesting economies are slowing. The advance tracked gains on Wall Street, where the market is headed for its first weekly gain after three weeks o… [+4430 chars]",2022-06-24,en
Can investors bank on the NAB share price in July?,"After a tough June, we consider if things can get better for the big four ASX bank.
The post Can investors bank on the NAB share price in July? appeared first on The Motley Fool Australia.","The National Australia Bank Ltd (ASX: NAB) share price has suffered in June. At the time of writing, the big four ASX bank has dropped 11% in the month. But, it has actually risen by more than 6% sin… [+2861 chars]",2022-06-30,en
